missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced,model_kind,protocol_key,mask_family,severity,requested_missing_ratio,actual_missing_ratio
0.1,csdi,normalized,all,channel_1,1233,0.0011700452128123725,0.00042167546141466666,0.00031505379704063226,0.008841699545915228,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_2,1227,0.00064680937407497,0.0003422734288904078,0.00025449495494171703,0.006476318796158606,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_3,1251,0.0011505693002537743,0.00044273787426005163,0.0003369680211733829,0.007628596905181925,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_4,1205,0.14887230671795249,0.004369968263996587,0.0036480693613620586,0.46444062841309175,continuous,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_5,1271,0.32917351201691036,0.010347368587306711,0.01020555354335388,0.6062034294067674,continuous,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_6,1163,0.21026721573913504,0.008793051239673244,0.00818075746649532,0.6599988273150772,continuous,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_7,1185,0.24418591861419703,0.010101498840651809,0.009676997499036215,0.696255008173882,continuous,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_8,1181,9.096295434732049e-05,7.196891797386318e-05,5.938945410617848e-05,0.019247221293349225,discrete_like,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_9,1229,9.408298622434184e-05,7.520006034459595e-05,6.038588160219555e-05,0.01956526588182912,discrete_like,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_10,1174,9.145094269521777e-05,7.258162372055412e-05,5.963972458019011e-05,0.03259711220581444,discrete_like,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_11,1239,0.00010687667520797095,8.523091185263707e-05,6.714495448071599e-05,0.0553253565100326,discrete_like,False,True,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_12,1263,0.04867858283973511,0.011982425439716424,0.010843566603995554,0.010702924379499172,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_13,1237,0.03199191936669557,0.008678679540452209,0.007698973502505867,0.007181438278643381,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_14,1206,0.6233269252116962,0.09356056610940898,0.07456865935572818,0.05433947272299599,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_15,1211,0.28481939871677464,0.04232141972326425,0.031137941698752787,0.025875901525272253,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_16,1185,0.2542468402505647,0.037445672390833185,0.02675431408674723,0.026246711451449443,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_17,1219,0.03661353345772779,0.009827303693273011,0.008727932265289326,0.008761959701645915,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_18,1229,0.037915125912397984,0.009954153970065788,0.00870974417494291,0.009189149145157309,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_19,1232,0.04621819585639146,0.011630147586685496,0.010125794339420876,0.011031504063827604,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_20,1222,0.041371420546370684,0.010240232532328747,0.008413808440035633,0.007676347186869584,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,channel_21,1257,0.5028327666587256,0.07883646959763438,0.06293067641165374,0.0456538002837111,continuous,False,False,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
