protocol_key,mask_family,severity,structured_rmse,mix_rmse,mix_vs_structured_rmse_improvement_fraction,structured_mae,mix_mae,mix_vs_structured_mae_improvement_fraction,random_rmse,mix_vs_random_rmse_improvement_fraction,random_mae,mix_vs_random_mae_improvement_fraction
channel_dropout_missing_10,channel_dropout,10%,0.9063413443657959,1.0421553159556047,-0.14984858898260167,0.4054938998539607,0.5006325001456607,-0.23462399884675042,,,,
channel_dropout_missing_50,channel_dropout,50%,1.9780658672552671,2.117049072328036,-0.07026217244505611,0.5124951221168047,0.5904557640348331,-0.1521197735424692,2.172570486732036,0.025555633174192016,0.8252175773723138,0.2844847465380189
channel_dropout_missing_90,channel_dropout,90%,2.3206129273042744,2.330879313284782,-0.004423997582584161,0.631405903179435,0.6784428874361409,-0.07449563588153334,,,,
gap_onset,real_gap_case,onset,0.8910464798998531,1.381428588626513,-0.5503440278241997,0.22239356271725577,0.2973460738001636,-0.33702644162502177,0.963543138561353,-0.43369666944969004,0.22609465876713586,-0.31513975350657214
gap_sustained,real_gap_case,sustained,2.666738744347284,2.695672372696046,-0.010849817369659164,1.0904862714501529,1.1288997209750307,-0.0352259817758134,2.715754179875127,0.007394559981862602,1.1808424047313821,0.04398782051544582
random_missing_10,random,10%,2.073963796699682,0.9768808288203512,0.5289788421693421,0.30691141929291665,0.1574099126830383,0.4871161423524418,0.839450574980923,-0.1637145270197133,0.14899602869141024,-0.05647052519134114
random_missing_50,random,50%,0.8250302742012526,0.8708449581575456,-0.055530912487603105,0.1698022191990236,0.16240567442321407,0.043559765064908315,0.8104056537874413,-0.0745790754144426,0.14859313025945403,-0.09295546933860517
random_missing_90,random,90%,0.9357581565720436,1.0987497807957465,-0.17418135559810552,0.2369931349627888,0.2472591959431594,-0.043317967763000925,1.0628453834927416,-0.03378139272244397,0.20027342763312347,-0.23460809986289408
rectangle_missing_10,rectangle,10%,1.0069404624252865,0.8643277212979,0.14162976506465305,0.21947513247581962,0.17750022583213143,0.19125131020623815,,,,
rectangle_missing_50,rectangle,50%,0.8163009609192523,1.1671095485276162,-0.4297539809500059,0.17980586616793948,0.24243026656425257,-0.34828897260683156,1.0545883862462153,-0.1066967584214705,0.1876929790803343,-0.29163204586619196
rectangle_missing_90,rectangle,90%,0.9620229542007261,1.317848798934284,-0.3698725099851565,0.2638816933002099,0.3006136050493867,-0.13919840853601048,,,,
time_block_missing_10,time_block,10%,1.4503257390130555,0.6161619807601809,0.5751561430748114,0.2617214434842888,0.15954523001165685,0.3904006187355664,,,,
time_block_missing_50,time_block,50%,0.7952175695208706,1.0577737784014423,-0.3301690241059001,0.17942638029804434,0.2151997907685794,-0.1993765376702802,0.9373573747479781,-0.12846370754360348,0.17963711988999134,-0.19796950040373845
time_block_missing_90,time_block,90%,0.9082717528766671,1.278444668764377,-0.40755744601249877,0.23813592189200553,0.2772060603959555,-0.164066547346302,,,,
