missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps,model_kind,protocol_key,mask_family,severity,requested_missing_ratio,actual_missing_ratio
0.1,csdi,normalized,all,all_channels,76,93440,0.839450574980923,0.14899602869141024,0.12240195124444263,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,continuous,44,54041,0.3947677912467574,0.037646171052461215,0.03365152449862985,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,discrete_like,32,39399,1.2072608694608882,0.30172725681056156,0.2441350361392488,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,differenced,8,9647,0.17233284863327514,0.004248174566478603,0.004006033785942084,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,all,non_differenced,68,83793,0.8845263427605988,0.16566069696612548,0.1360327487540455,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,anomaly_rare,all_channels,76,2133,4.844398063378323,1.319526025947695,1.1551993177083866,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,anomaly_rare,continuous,44,1618,2.0428984527407175,0.5124026264705234,0.5094040810323767,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,anomaly_rare,discrete_like,32,515,9.169921117863016,3.855304007217722,3.1841249350710754,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,anomaly_rare,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,anomaly_rare,differenced,8,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,anomaly_rare,non_differenced,68,2133,4.844398063378323,1.319526025947695,1.1551993177083866,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,held,all_channels,76,46130,0.959191464886622,0.06236486054542835,0.053895907518014104,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,held,continuous,44,33370,0.4369555805864383,0.0336886347727744,0.031198280634060126,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,held,discrete_like,32,12760,1.6813210966234635,0.13735903405902256,0.11325482672785306,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,held,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,held,differenced,8,7604,0.16060033341236957,0.0032146145055768154,0.0030232841268096043,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,held,non_differenced,68,38526,1.047163023253155,0.07403953403572143,0.06393680011695298,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,nominal,all_channels,76,91307,0.41581787683126414,0.12165157023595514,0.09827503014833457,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,nominal,continuous,44,52423,0.17844150412605644,0.022993138182475954,0.018967747641209884,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,nominal,discrete_like,32,38884,0.6025648048192651,0.2546618311026237,0.20519627464146797,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,nominal,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,nominal,differenced,8,9647,0.17233284863327514,0.004248174566478603,0.004006033785942084,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,nominal,non_differenced,68,81660,0.43568601468461543,0.1355211582597543,0.1094116087413789,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,update,all_channels,76,47310,0.7033335313695709,0.23346645438092978,0.18919932582703222,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,update,continuous,44,20671,0.314955187484381,0.044034976694585753,0.03761189157842495,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,update,discrete_like,32,26639,0.8952981109988848,0.3804591371113032,0.30682625827017806,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,update,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,update,differenced,8,2043,0.21032639104542436,0.008095062287386217,0.007663805770395477,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,normalized,update,non_differenced,68,45267,0.7176401957622347,0.24363796462121762,0.19739242604298887,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,all_channels,76,93440,0.029695208781986168,0.0038198652171899873,0.003288786359512583,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,continuous,44,54041,0.014851155476668387,0.0013574987672360954,0.001155829044913189,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,discrete_like,32,39399,0.04229416461902829,0.00719733026254541,0.006214422701507708,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,differenced,8,9647,2.382821119142121e-07,5.835710086120285e-09,5.513341812237624e-09,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,all,non_differenced,68,83793,0.03135804133087182,0.004259641612033669,0.003667420240898968,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,anomaly_rare,all_channels,76,2133,0.07914651125469253,0.023344408121299256,0.019490856183630535,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
