month,timepoints,natural_missing_rate,additional_mask_rate_of_observed,natural_missing_count,additional_mask_count
1,744,0.14258512544802868,0.1278902677988243,3819,2937
2,672,0.14012896825396826,0.029900971060474953,3390,622
3,744,0.03942652329749104,0.1490593905472637,1056,3835
4,720,0.1521604938271605,0.10338551146705496,3944,2272
5,743,0.09481082697771796,0.1124648934412688,2536,2723
6,720,0.11342592592592593,0.14856396866840732,2940,3414
7,744,0.1700268817204301,0.03603238866396761,4554,801
8,744,0.03640232974910394,0.09093726994459297,975,2347
9,720,0.09309413580246914,0.41485514952992725,2413,9752
10,744,0.4194295101553166,0.07363344051446945,11234,1145
11,720,0.0857253086419753,0.10363743775846063,2222,2456
12,744,0.1003584229390681,0.1424717795484728,2688,3433
