requested_ratio,actual_ratio,windows,masked_per_window,total_masked_window_cells,channel,channel_masked_count,channel_share,position_min_count,position_max_count
0.1,0.10069444444444445,2663,58,154454,通道 41,25621,0.165881103759048,1508,1708
0.1,0.10069444444444445,2663,58,154454,通道 42,25615,0.16584225724163829,1508,1708
0.1,0.10069444444444445,2663,58,154454,通道 43,25700,0.16639258290494258,1508,1708
0.1,0.10069444444444445,2663,58,154454,通道 44,25616,0.16584873166120656,1508,1708
0.1,0.10069444444444445,2663,58,154454,通道 45,26114,0.16907299260621286,1508,1708
0.1,0.10069444444444445,2663,58,154454,通道 46,25788,0.16696233182695172,1508,1708
0.5,0.5,2663,288,766944,通道 41,127740,0.16655714106896982,7839,8166
0.5,0.5,2663,288,766944,通道 42,127638,0.16642414570033798,7839,8166
0.5,0.5,2663,288,766944,通道 43,127708,0.166515417031752,7839,8166
0.5,0.5,2663,288,766944,通道 44,127998,0.16689354111903867,7839,8166
0.5,0.5,2663,288,766944,通道 45,127954,0.16683617056786415,7839,8166
0.5,0.5,2663,288,766944,通道 46,127906,0.1667735845120374,7839,8166
0.9,0.8993055555555556,2663,518,1379434,通道 41,229858,0.1666321114312102,14277,14450
0.9,0.8993055555555556,2663,518,1379434,通道 42,229959,0.1667053298671774,14277,14450
0.9,0.8993055555555556,2663,518,1379434,通道 43,229985,0.1667241781774264,14277,14450
0.9,0.8993055555555556,2663,518,1379434,通道 44,229899,0.16666183376660282,14277,14450
0.9,0.8993055555555556,2663,518,1379434,通道 45,230082,0.1667944968733553,14277,14450
0.9,0.8993055555555556,2663,518,1379434,通道 46,229651,0.16648204988422788,14277,14450
