channel,start,end,duration_minutes,label_types
channel_41,2000-02-10T01:32:00,2000-02-10T01:35:00,3.5,稀有事件
channel_41,2000-02-10T15:58:30,2000-02-10T20:25:00,267.0,稀有事件
channel_41,2000-03-19T06:01:30,2000-03-20T23:13:30,2472.5,异常
channel_41,2000-04-23T15:16:00,2000-04-25T14:18:00,2822.5,异常
channel_41,2000-06-25T00:51:30,2000-06-25T03:07:00,136.0,异常
channel_41,2000-07-27T19:49:00,2000-07-28T06:55:30,667.0,稀有事件
channel_41,2000-07-31T03:33:30,2000-07-31T04:16:30,43.5,稀有事件
channel_41,2000-10-10T00:35:00,2000-10-11T01:10:00,1475.5,异常
channel_41,2000-10-13T22:41:30,2000-10-13T22:49:00,8.0,稀有事件
channel_41,2000-10-13T23:19:30,2000-10-13T23:25:00,6.0,稀有事件
channel_41,2000-10-13T23:39:30,2000-10-13T23:40:00,1.0,稀有事件
channel_41,2000-10-13T23:47:00,2000-10-13T23:47:00,0.5,稀有事件
channel_41,2000-10-22T22:58:00,2000-10-22T23:06:00,8.5,稀有事件
channel_42,2000-02-10T01:32:00,2000-02-10T01:35:00,3.5,稀有事件
channel_42,2000-02-10T15:43:00,2000-02-10T20:23:30,281.0,稀有事件
channel_42,2000-03-19T06:01:30,2000-03-20T23:13:30,2472.5,异常
channel_42,2000-04-23T15:16:00,2000-04-25T14:18:00,2822.5,异常
channel_42,2000-06-25T00:51:00,2000-06-25T03:06:00,135.5,异常
channel_42,2000-07-27T19:49:00,2000-07-28T06:55:30,667.0,稀有事件
channel_42,2000-07-31T03:33:30,2000-07-31T04:16:30,43.5,稀有事件
channel_42,2000-10-10T01:10:00,2000-10-11T00:11:30,1382.0,异常
channel_42,2000-10-13T22:41:30,2000-10-13T22:49:00,8.0,稀有事件
channel_42,2000-10-13T23:19:30,2000-10-13T23:24:30,5.5,稀有事件
channel_42,2000-10-13T23:39:30,2000-10-13T23:40:00,1.0,稀有事件
channel_42,2000-10-13T23:47:00,2000-10-13T23:47:00,0.5,稀有事件
channel_42,2000-10-14T00:17:30,2000-10-14T00:18:00,1.0,稀有事件
channel_42,2000-10-22T22:58:00,2000-10-22T23:05:30,8.0,稀有事件
channel_43,2000-02-10T01:32:00,2000-02-10T01:35:00,3.5,稀有事件
channel_43,2000-02-10T01:53:00,2000-02-10T01:53:00,0.5,稀有事件
channel_43,2000-02-10T01:55:00,2000-02-10T01:55:00,0.5,稀有事件
channel_43,2000-02-10T15:41:30,2000-02-10T20:25:00,284.0,稀有事件
channel_43,2000-03-19T06:01:30,2000-03-20T23:13:30,2472.5,异常
channel_43,2000-04-23T15:16:00,2000-04-25T14:18:00,2822.5,异常
