channel_x,channel_y,correlation
通道 9,通道 9,1.0
通道 9,通道 10,0.30979507796436184
通道 9,通道 13,0.008375366243360785
通道 9,通道 14,-0.005417894793739606
通道 9,通道 74,0.13327854179845278
通道 9,通道 86,-0.10684304628179135
通道 10,通道 9,0.30979507796436184
通道 10,通道 10,1.0
通道 10,通道 13,-0.005578820870563755
通道 10,通道 14,-0.00990510944202849
通道 10,通道 74,0.23985143009455262
通道 10,通道 86,-0.2345424886920101
通道 13,通道 9,0.008375366243360785
通道 13,通道 10,-0.005578820870563755
通道 13,通道 13,1.0
通道 13,通道 14,-0.15139507198450103
通道 13,通道 74,-0.02701324749604904
通道 13,通道 86,0.027714585133148974
通道 14,通道 9,-0.005417894793739606
通道 14,通道 10,-0.00990510944202849
通道 14,通道 13,-0.15139507198450103
通道 14,通道 14,1.0
通道 14,通道 74,0.017180195654879275
通道 14,通道 86,-0.017201543024347055
通道 74,通道 9,0.13327854179845278
通道 74,通道 10,0.23985143009455262
通道 74,通道 13,-0.02701324749604904
通道 74,通道 14,0.017180195654879275
通道 74,通道 74,1.0
通道 74,通道 86,-0.9738658529771579
通道 86,通道 9,-0.10684304628179135
通道 86,通道 10,-0.2345424886920101
通道 86,通道 13,0.027714585133148974
通道 86,通道 14,-0.017201543024347055
通道 86,通道 74,-0.9738658529771579
通道 86,通道 86,1.0
