epoch=0 train_loss=55.484664 valid_mae=0.493152 valid_auc=0.628034
epoch=1 train_loss=45.153104 valid_mae=0.426589 valid_auc=0.755954
epoch=2 train_loss=40.907801 valid_mae=0.382760 valid_auc=0.767407
epoch=3 train_loss=38.382617 valid_mae=0.354894 valid_auc=0.778689
epoch=4 train_loss=36.844930 valid_mae=0.339400 valid_auc=0.773447
epoch=5 train_loss=35.837819 valid_mae=0.329210 valid_auc=0.772934
epoch=6 train_loss=35.122442 valid_mae=0.324433 valid_auc=0.773447
epoch=7 train_loss=34.569058 valid_mae=0.317856 valid_auc=0.791396
epoch=8 train_loss=34.127076 valid_mae=0.314820 valid_auc=0.777721
epoch=9 train_loss=33.741733 valid_mae=0.311019 valid_auc=0.785242
epoch=10 train_loss=33.405711 valid_mae=0.307698 valid_auc=0.785413
epoch=11 train_loss=33.098416 valid_mae=0.305982 valid_auc=0.787066
epoch=12 train_loss=32.816243 valid_mae=0.303341 valid_auc=0.779430
epoch=13 train_loss=32.569659 valid_mae=0.301230 valid_auc=0.791624
epoch=14 train_loss=32.345091 valid_mae=0.298833 valid_auc=0.796695
epoch=15 train_loss=32.116105 valid_mae=0.295338 valid_auc=0.781140
epoch=16 train_loss=31.938127 valid_mae=0.293764 valid_auc=0.804558
epoch=17 train_loss=31.783632 valid_mae=0.293245 valid_auc=0.798006
epoch=18 train_loss=31.628309 valid_mae=0.291945 valid_auc=0.787749
epoch=19 train_loss=31.510465 valid_mae=0.290120 valid_auc=0.790085
epoch=20 train_loss=31.365198 valid_mae=0.289379 valid_auc=0.790484
epoch=21 train_loss=31.228353 valid_mae=0.287299 valid_auc=0.787179
epoch=22 train_loss=31.103287 valid_mae=0.285873 valid_auc=0.802450
epoch=23 train_loss=30.988520 valid_mae=0.285744 valid_auc=0.799373
epoch=24 train_loss=30.927909 valid_mae=0.283107 valid_auc=0.781937
epoch=25 train_loss=30.801578 valid_mae=0.283177 valid_auc=0.791339
epoch=26 train_loss=30.705583 valid_mae=0.282755 valid_auc=0.794701
epoch=27 train_loss=30.670270 valid_mae=0.283041 valid_auc=0.792194
epoch=28 train_loss=30.557453 valid_mae=0.281061 valid_auc=0.795043
epoch=29 train_loss=30.510435 valid_mae=0.281085 valid_auc=0.782849
epoch=30 train_loss=30.402471 valid_mae=0.279276 valid_auc=0.793219
epoch=31 train_loss=30.312873 valid_mae=0.279234 valid_auc=0.808661
epoch=32 train_loss=30.259649 valid_mae=0.278687 valid_auc=0.802849
epoch=33 train_loss=30.204711 valid_mae=0.277783 valid_auc=0.799544
epoch=34 train_loss=30.144634 valid_mae=0.278242 valid_auc=0.796011
epoch=35 train_loss=30.052591 valid_mae=0.276689 valid_auc=0.807635
epoch=36 train_loss=29.982525 valid_mae=0.276385 valid_auc=0.795385
epoch=37 train_loss=29.950176 valid_mae=0.276685 valid_auc=0.792023
epoch=38 train_loss=29.907107 valid_mae=0.276708 valid_auc=0.803134
epoch=39 train_loss=29.860374 valid_mae=0.276189 valid_auc=0.803590
epoch=40 train_loss=29.775680 valid_mae=0.276591 valid_auc=0.789573
epoch=41 train_loss=29.729957 valid_mae=0.275682 valid_auc=0.808775
epoch=42 train_loss=29.652423 valid_mae=0.275158 valid_auc=0.802621
epoch=43 train_loss=29.663152 valid_mae=0.275404 valid_auc=0.800000
epoch=44 train_loss=29.579007 valid_mae=0.275038 valid_auc=0.806610
epoch=45 train_loss=29.517713 valid_mae=0.276462 valid_auc=0.804672
epoch=46 train_loss=29.568060 valid_mae=0.275381 valid_auc=0.812821
epoch=47 train_loss=29.486996 valid_mae=0.274844 valid_auc=0.815954
epoch=48 train_loss=29.386878 valid_mae=0.273985 valid_auc=0.794074
epoch=49 train_loss=29.345812 valid_mae=0.274347 valid_auc=0.802507
epoch=50 train_loss=29.362229 valid_mae=0.275080 valid_auc=0.795214
epoch=51 train_loss=29.313215 valid_mae=0.275151 valid_auc=0.799544
epoch=52 train_loss=29.209643 valid_mae=0.273714 valid_auc=0.818917
epoch=53 train_loss=29.195128 valid_mae=0.275654 valid_auc=0.786724
epoch=54 train_loss=29.134754 valid_mae=0.274870 valid_auc=0.813390
epoch=55 train_loss=29.125139 valid_mae=0.273922 valid_auc=0.811396
epoch=56 train_loss=29.197943 valid_mae=0.275712 valid_auc=0.785869
epoch=57 train_loss=29.150380 valid_mae=0.274596 valid_auc=0.798063
