type,missing_ratio,fold,status,metrics_path,test_mae,valid_mae,best_epoch,stopped_epoch,early_stopped,paper_mae,paper_se
fold,0.1,0,complete,baseline_results\brits\physio_missing0.1_seed1_fold0\run_epoch1000\metrics.json,0.28291652027922853,0.27332728644572424,63,118,True,0.284,0.001
fold,0.1,1,complete,baseline_results\brits\physio_missing0.1_seed1_fold1\run_patience30\metrics.json,0.28146557423365576,0.2718920726104439,68,98,True,0.284,0.001
fold,0.1,2,complete,baseline_results\brits\physio_missing0.1_seed1_fold2\run_patience30\metrics.json,0.2762607895404398,0.27689460437375807,60,90,True,0.284,0.001
fold,0.1,3,complete,baseline_results\brits\physio_missing0.1_seed1_fold3\run_patience30\metrics.json,0.28128186160791985,0.28059112606075315,62,92,True,0.284,0.001
fold,0.1,4,complete,baseline_results\brits\physio_missing0.1_seed1_fold4\run_patience30\metrics.json,0.2820149969346899,0.28522973090433706,59,89,True,0.284,0.001
fold,0.5,0,complete,baseline_results\brits\physio_missing0.5_seed1_fold0\run_patience30\metrics.json,0.36891629872007403,0.3607657971650977,73,103,True,0.368,0.002
fold,0.5,1,complete,baseline_results\brits\physio_missing0.5_seed1_fold1\run_patience30\metrics.json,0.3641708115224656,0.35806714426486635,66,96,True,0.368,0.002
fold,0.5,2,complete,baseline_results\brits\physio_missing0.5_seed1_fold2\run_patience30\metrics.json,0.3646940445304936,0.3625859772044501,55,85,True,0.368,0.002
fold,0.5,3,complete,baseline_results\brits\physio_missing0.5_seed1_fold3\run_patience30\metrics.json,0.3660835357853478,0.3634515661400522,86,116,True,0.368,0.002
fold,0.5,4,complete,baseline_results\brits\physio_missing0.5_seed1_fold4\run_patience30\metrics.json,0.3615863214104409,0.36513000279168645,98,128,True,0.368,0.002
fold,0.9,0,complete,baseline_results\brits\physio_missing0.9_seed1_fold0\run_patience30\metrics.json,0.524634782420376,0.5119878735846026,49,79,True,0.517,0.002
fold,0.9,1,complete,baseline_results\brits\physio_missing0.9_seed1_fold1\run_patience30\metrics.json,0.5192660269365429,0.5093850964339693,56,86,True,0.517,0.002
fold,0.9,2,complete,baseline_results\brits\physio_missing0.9_seed1_fold2\run_patience30\metrics.json,0.5159868616087906,0.5132643760421247,55,85,True,0.517,0.002
fold,0.9,3,complete,baseline_results\brits\physio_missing0.9_seed1_fold3\run_patience30\metrics.json,0.517617356166233,0.5117932145782399,65,95,True,0.517,0.002
fold,0.9,4,complete,baseline_results\brits\physio_missing0.9_seed1_fold4\run_patience30\metrics.json,0.5163767202614457,0.5157333488068703,48,78,True,0.517,0.002
summary,0.1,all,complete,,0.28078794851918676,,,,,0.284,0.001
summary,0.5,all,complete,,0.3650902023937644,,,,,0.368,0.002
summary,0.9,all,complete,,0.5187763494786777,,,,,0.517,0.002
