missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.03,csdi,normalized,all,channel_1,381,0.001403376790085725,0.00047564453731371663,0.0003507203602569497,0.010225881025711186,continuous,False,False
0.03,csdi,normalized,all,channel_2,349,0.0010681077602850478,0.0005061093685790939,0.0003685403706818325,0.0068029566801323,continuous,False,False
0.03,csdi,normalized,all,channel_3,387,0.0012026726127607487,0.000508722033380538,0.00038440124416626575,0.00864689932699107,continuous,False,False
0.03,csdi,normalized,all,channel_4,360,0.26309673459015537,0.013970042657132985,0.013959013617351414,0.8013459496058912,continuous,False,True
0.03,csdi,normalized,all,channel_5,386,0.00011712745550739446,9.280679942895248e-05,8.934065420840892e-05,0.02345110796362851,continuous,False,True
0.03,csdi,normalized,all,channel_6,358,0.2625880807180521,0.013981105794209216,0.013999768133651122,0.7978082454740272,continuous,False,True
0.03,csdi,normalized,all,channel_7,346,0.33569432675510186,0.018153480449260746,0.018145858003435034,0.8279899320212135,continuous,False,True
0.03,csdi,normalized,all,channel_8,393,0.00011411734253967182,9.047139362543442e-05,8.581889369616689e-05,0.027812600709768695,discrete_like,False,True
0.03,csdi,normalized,all,channel_9,392,0.00011721062943027439,9.411468042288812e-05,8.717117329280889e-05,0.028243807098958674,discrete_like,False,True
0.03,csdi,normalized,all,channel_10,380,0.00010829362337385834,8.51758525976421e-05,8.51629084795894e-05,0.04654724504561135,discrete_like,False,True
0.03,csdi,normalized,all,channel_11,392,0.00010669674447988115,8.570668715223366e-05,8.565443462426358e-05,0.0705765951544044,discrete_like,False,True
0.03,csdi,normalized,all,channel_12,369,0.028051475089471124,0.009976148847641983,0.008590430966822181,0.008739420020517936,continuous,False,False
0.03,csdi,normalized,all,channel_13,401,0.04024560277598076,0.010973949143268224,0.00938975065873237,0.009065854162113265,continuous,False,False
0.03,csdi,normalized,all,channel_14,385,1.2267024035980252,0.29711069705617893,0.25975539099949624,0.1780616056152633,continuous,False,False
0.03,csdi,normalized,all,channel_15,364,0.9585422212035599,0.1575386821200232,0.140254941805303,0.10536338678722347,continuous,False,False
0.03,csdi,normalized,all,channel_16,392,0.9237104030847205,0.11007684801838227,0.08911348204991243,0.08459320877869315,continuous,False,False
0.03,csdi,normalized,all,channel_17,355,0.04058386107316689,0.01062921403159558,0.009685495660382787,0.00942519796300663,continuous,False,False
0.03,csdi,normalized,all,channel_18,355,0.026985892671220327,0.0078815274885003,0.006065009205738115,0.006716458645816529,continuous,False,False
0.03,csdi,normalized,all,channel_19,346,0.018568726441517146,0.00659482219832481,0.005324755095178899,0.005619804402231597,continuous,False,False
0.03,csdi,normalized,all,channel_20,361,0.053247539850218475,0.01289724476036933,0.010952426458326446,0.010709730506578084,continuous,False,False
0.03,csdi,normalized,all,channel_21,387,1.4051440584533734,0.2828065922498241,0.2590592563633364,0.2045464871976413,continuous,False,False
0.03,csdi,normalized,all,channel_22,359,1.3881385281307486,0.16347752093314127,0.11919702006059646,0.09996960541664661,continuous,False,False
0.03,csdi,normalized,all,channel_23,337,1.8608223127860077,0.17861297579609323,0.15628810959313819,0.12816738496886548,continuous,False,False
0.03,csdi,normalized,all,channel_24,374,1.2114384455051106,0.11465463555233682,0.09673498866829551,0.10110779332577981,continuous,False,False
0.03,csdi,normalized,all,channel_25,381,0.04637877031289006,0.012969550820864404,0.011277050506269542,0.011796390039841656,continuous,False,False
0.03,csdi,normalized,all,channel_26,353,0.06612288962727911,0.014312410025353472,0.012026229125547688,0.012206091359821843,continuous,False,False
0.03,csdi,normalized,all,channel_27,372,0.023038328707899586,0.007225119108234042,0.006270730399553536,0.006366893960091516,continuous,False,False
0.03,csdi,normalized,all,channel_28,405,0.02879609619508923,0.007370969561147101,0.0067123912527789304,0.007215107617446989,continuous,False,False
0.03,csdi,normalized,all,channel_29,373,1.3416169790031638,0.27595039636855473,0.288960856718989,0.21140536306995386,continuous,False,False
0.03,csdi,normalized,all,channel_30,339,1.8366773906393061,0.21481972881166983,0.18249578473070413,0.13738661126626173,continuous,False,False
0.03,csdi,normalized,all,channel_31,349,1.5915111988680297,0.14518867592650192,0.12663692276936928,0.105317212187713,continuous,False,False
0.03,csdi,normalized,all,channel_32,359,1.2008412921975784,0.14586253409224634,0.11023587696519137,0.11341596062355629,continuous,False,False
0.03,csdi,normalized,all,channel_33,397,0.8239955820584339,0.06446594824681354,0.057809909912579165,0.0643976972809048,continuous,False,False
0.03,csdi,normalized,all,channel_34,365,0.0215394371331417,0.00586280905424732,0.005051646583459106,0.0050435359875679936,continuous,False,False
0.03,csdi,normalized,all,channel_35,354,0.03369231445090572,0.009915964099141838,0.00872565378051959,0.009013700516151014,continuous,False,False
0.03,csdi,normalized,all,channel_36,347,0.021729801057363163,0.008113897875251963,0.006963814979487764,0.006807256646239293,continuous,False,False
