missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps
0.03,csdi,normalized,all,all_channels,76,28032,1.5795449512626698,0.19065938746592453,0.16068223307742344
0.03,csdi,normalized,all,continuous,44,16119,1.467801317848682,0.0961811431619091,0.0839149832100543
0.03,csdi,normalized,all,discrete_like,32,11913,1.71921732944151,0.3184940907259283,0.2645529038246847
0.03,csdi,normalized,all,near_constant,0,0,,,
0.03,csdi,normalized,all,differenced,8,3007,0.1716478134876583,0.0054838014461888645,0.005481859203377091
0.03,csdi,normalized,all,non_differenced,68,25025,1.6706933448723305,0.21291005628356072,0.17933108519487628
0.03,csdi,normalized,anomaly_rare,all_channels,76,584,10.321326548126926,3.004557648967084,2.652145985158628
0.03,csdi,normalized,anomaly_rare,continuous,44,429,8.53536791307042,2.0933318456291876,1.7394034716435118
0.03,csdi,normalized,anomaly_rare,discrete_like,32,155,14.132932873465382,5.526595517560359,5.1783817161133685
0.03,csdi,normalized,anomaly_rare,near_constant,0,0,,,
0.03,csdi,normalized,anomaly_rare,differenced,8,0,,,
0.03,csdi,normalized,anomaly_rare,non_differenced,68,584,10.321326548126926,3.004557648967084,2.652145985158628
0.03,csdi,normalized,held,all_channels,76,13922,2.042933969026326,0.12857193928789237,0.1152716115228042
0.03,csdi,normalized,held,continuous,44,10050,1.7356077246475379,0.10262112926659336,0.08887216908387595
0.03,csdi,normalized,held,discrete_like,32,3872,2.6809807629482365,0.19592876798470413,0.18379289161351406
0.03,csdi,normalized,held,near_constant,0,0,,,
0.03,csdi,normalized,held,differenced,8,2375,0.12812987383324517,0.0027238159175275974,0.002722876418009143
0.03,csdi,normalized,held,non_differenced,68,11547,2.242460470939229,0.15445652342269936,0.13842076246018087
0.03,csdi,normalized,nominal,all_channels,76,27448,0.5305237360004587,0.1307892118069749,0.10767236591766054
0.03,csdi,normalized,nominal,continuous,44,15690,0.47052746308266913,0.041574537455623076,0.03865019273999017
0.03,csdi,normalized,nominal,discrete_like,32,11758,0.6013312369148716,0.24983822019043378,0.19977628641074166
0.03,csdi,normalized,nominal,near_constant,0,0,,,
0.03,csdi,normalized,nominal,differenced,8,3007,0.1716478134876583,0.0054838014461888645,0.005481859203377091
0.03,csdi,normalized,nominal,non_differenced,68,24441,0.5589797064348452,0.1462056583089545,0.12024496334370084
0.03,csdi,normalized,update,all_channels,76,14110,0.9158116438438582,0.2519195883871868,0.2054878090122021
0.03,csdi,normalized,update,continuous,44,6069,0.8566250157318729,0.08551680609559455,0.07570609903279851
0.03,csdi,normalized,update,discrete_like,32,8041,0.9580649228937692,0.3775132316812639,0.30344144635395076
0.03,csdi,normalized,update,near_constant,0,0,,,
0.03,csdi,normalized,update,differenced,8,632,0.28015635803111244,0.01585558233793701,0.015849872212417154
0.03,csdi,normalized,update,non_differenced,68,13478,0.9350715355391211,0.262988920025644,0.21438016515239083
0.03,csdi,original,all,all_channels,76,28032,0.050444467383816485,0.005591001175802379,0.004808925670770029
0.03,csdi,original,all,continuous,44,16119,0.053659225475110484,0.003993876757314753,0.0034558555508446115
0.03,csdi,original,all,discrete_like,32,11913,0.04573639968432292,0.007752005834712983,0.006639710297906582
0.03,csdi,original,all,near_constant,0,0,,,
0.03,csdi,original,all,differenced,8,3007,2.3474229118625545e-07,7.446522384136469e-09,7.445633046748905e-09
0.03,csdi,original,all,non_differenced,68,25025,0.053389215584579694,0.006262814088647331,0.005386764516044231
0.03,csdi,original,anomaly_rare,all_channels,76,584,0.2628060785079725,0.07416460360858863,0.06055878128279837
0.03,csdi,original,anomaly_rare,continuous,44,429,0.29498996227814983,0.08553590427537064,0.06942759596653009
0.03,csdi,original,anomaly_rare,discrete_like,32,155,0.13921355112443148,0.04269177789214037,0.03601219096459898
0.03,csdi,original,anomaly_rare,near_constant,0,0,,,
0.03,csdi,original,anomaly_rare,differenced,8,0,,,
0.03,csdi,original,anomaly_rare,non_differenced,68,584,0.2628060785079725,0.07416460360858863,0.06055878128279837
0.03,csdi,original,held,all_channels,76,13922,0.054428955844108916,0.003734043099239456,0.0032177004781553426
0.03,csdi,original,held,continuous,44,10050,0.06176896644308241,0.004569543945284833,0.003951157255825571
0.03,csdi,original,held,discrete_like,32,3872,0.02736376372481887,0.0015654523185689938,0.0013139709803284322
0.03,csdi,original,held,near_constant,0,0,,,
0.03,csdi,original,held,differenced,8,2375,1.7370546630593684e-07,3.64684062582376e-09,3.647167095007241e-09
0.03,csdi,original,held,non_differenced,68,11547,0.05976490517433653,0.0045020645506508375,0.0038795199960904845
0.03,csdi,original,nominal,all_channels,76,27448,0.03360467669090927,0.004131988359712182,0.0036227585396649965
0.03,csdi,original,nominal,continuous,44,15690,0.02405704657480012,0.0017643337553429335,0.001652039340308505
0.03,csdi,original,nominal,discrete_like,32,11758,0.04317303689426801,0.007291411794186882,0.006252507156598433
0.03,csdi,original,nominal,near_constant,0,0,,,
0.03,csdi,original,nominal,differenced,8,3007,2.3474229118625545e-07,7.446522384136469e-09,7.445633046748905e-09
0.03,csdi,original,nominal,non_differenced,68,24441,0.03561193634640695,0.004640349990003976,0.004068469130056309
0.03,csdi,original,update,all_channels,76,14110,0.046177320833737885,0.007423217390996835,0.006378949583771062
0.03,csdi,original,update,continuous,44,6069,0.03645797099585122,0.0030405970446770424,0.002635657528694304
0.03,csdi,original,update,discrete_like,32,8041,0.05233102785959392,0.010731030210523611,0.009204224982634495
0.03,csdi,original,update,near_constant,0,0,,,
0.03,csdi,original,update,differenced,8,632,3.8573307787028283e-07,2.1725388739430543e-08,2.17199315978126e-08
0.03,csdi,original,update,non_differenced,68,13478,0.04724757388089486,0.007771300167422441,0.006678065358362733
0.03,forward_fill,normalized,all,all_channels,76,28032,0.7883620557469778,0.22566832708588577,
0.03,forward_fill,normalized,all,continuous,44,16119,0.14910971949996868,0.026774433599266123,
0.03,forward_fill,normalized,all,discrete_like,32,11913,1.1968198365179399,0.4947836354977738,
0.03,forward_fill,normalized,all,near_constant,0,0,,,
0.03,forward_fill,normalized,all,differenced,8,3007,0.12844493638832968,0.003343518463144278,
0.03,forward_fill,normalized,all,non_differenced,68,25025,0.8331947145819297,0.25238284055356147,
0.03,forward_fill,normalized,anomaly_rare,all_channels,76,584,2.8069927416824463,0.2515797849253381,
0.03,forward_fill,normalized,anomaly_rare,continuous,44,429,0.06727922656504925,0.011734903722758337,
