method,method_label,block_pair,edge_jaccard,mean_channel_neighbor_jaccard,median_channel_neighbor_jaccard,correlation_weight_spearman
raw_pearson,原值 Pearson Top-8,1-2,0.33633633633633636,0.39699014435856544,0.3939393939393939,0.6214929192034179
raw_pearson,原值 Pearson Top-8,1-3,0.38580246913580246,0.4536153904574958,0.3333333333333333,0.6721740660915957
raw_pearson,原值 Pearson Top-8,1-4,0.5456140350877193,0.6412558202031886,0.6,0.7823653331061629
raw_pearson,原值 Pearson Top-8,2-3,0.4774193548387097,0.5748056037529722,0.6,0.7636039803907126
raw_pearson,原值 Pearson Top-8,2-4,0.37883435582822084,0.4594218646850226,0.45454545454545453,0.65562819962052
raw_pearson,原值 Pearson Top-8,3-4,0.46526655896607433,0.5555637345111029,0.6,0.7299716333385848
diff_pearson,一阶差分 Pearson Top-8,1-2,0.38010657193605685,0.470442423074002,0.45454545454545453,0.1166238742980529
diff_pearson,一阶差分 Pearson Top-8,1-3,0.38420107719928187,0.46576727366201054,0.3333333333333333,0.1255842628524057
diff_pearson,一阶差分 Pearson Top-8,1-4,0.37318840579710144,0.459657301762565,0.45454545454545453,0.1524141647854929
diff_pearson,一阶差分 Pearson Top-8,2-3,0.3981981981981982,0.5015575068206647,0.45454545454545453,0.1645804857119562
diff_pearson,一阶差分 Pearson Top-8,2-4,0.37725631768953066,0.45521145521145523,0.45454545454545453,0.13708655402481448
diff_pearson,一阶差分 Pearson Top-8,3-4,0.41495327102803736,0.4989402410455042,0.45454545454545453,0.08734660255093071
