method,method_label,mask_family,mask_label,windows,paired_window_mean_change_pct,paired_window_median_change_pct,ci95_low_pct,ci95_high_pct,win_fraction
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,128,-5.277562118716848,-12.232453562161272,-9.555327982964332,-0.6018252921112072,0.75
diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,128,-13.875192791688104,-14.302832773647095,-15.979407898949384,-11.655038184619118,0.875
spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,128,-14.103589416478101,-16.625882227525345,-16.97837842852095,-11.056649163594384,0.8359375
shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,128,-1.3951314693913746,-1.8689108253004516,-3.5202298549678557,0.8127741741190234,0.578125
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,128,-2.9745030017777783,-5.642956019082162,-5.860826110419157,0.2270970092601063,0.7421875
diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,128,-8.848556051838294,-7.803443859597669,-10.190204890438224,-7.567182366810297,0.9375
spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,128,-7.7530057545228175,-9.202932949499932,-9.870760316881602,-5.450214593912142,0.84375
shuffled,打乱原值图,rectangle_50,矩形缺失 50%,128,-2.55283069091623,-2.3598352868546,-4.124599032746021,-1.0743830486230757,0.609375
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,128,-1.5882959676427726,-1.6112978786937682,-1.6634188423031573,-1.5102101080270782,0.9921875
diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,128,-0.7859656519524199,-0.903436456058565,-0.8657119517558922,-0.6990082127332284,0.8984375
spearman,Spearman Top-8,time_block_50,时间块缺失 50%,128,-1.607269763032039,-1.8005952093681998,-1.7264158372733556,-1.47684154133964,0.9453125
shuffled,打乱原值图,time_block_50,时间块缺失 50%,128,1.2797876028330217,1.1344145773340086,1.1317822769422627,1.4340650899146954,0.03125
