method,method_label,mask_family,mask_label,normalized_rmse,normalized_mae,evaluation_points,windows,rmse_change_vs_random_pct,rmse_change_vs_global_mean_pct
raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.8642557977091943,0.4950818512965942,466944,128,-2.053775035123395,-8.659489643936425
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0.9142706128139109,0.5975494951889184,470016,128,-2.4950979425059527,-3.260644600064677
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.9519873684463245,0.7301153534128633,466944,128,-1.5767390226188782,0.22807649797806917
diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7542709774729882,0.483218610304396,466944,128,-14.518369399582298,-20.28344361499822
diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.8439953481670942,0.5871796908991379,470016,128,-9.98979666782418,-10.696499703805863
diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.9587609439593885,0.734861633895051,466944,128,-0.8764383541758236,0.9412187803133909
spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.7612650143826124,0.4663255965602052,466944,128,-13.725734262648903,-19.54426558174981
spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.8708484826522431,0.5805276837560769,470016,128,-7.125970344179578,-7.855158328339584
spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.9506236144694579,0.7287140878447796,466944,128,-1.7177336597569148,0.0844964018042127
random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.8823778537857027,0.6135070618879929,466944,128,0.0,-6.744225835331408
random,随机 Top-8,rectangle_50,矩形缺失 50%,0.9376663055102692,0.673024290606003,470016,128,0.0,-0.7851365843199454
random,随机 Top-8,time_block_50,时间块缺失 50%,0.9672381904366112,0.7446845947985863,466944,128,0.0,1.8337286355627924
shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.8567941030614774,0.589111248313931,466944,128,-2.8994098859646322,-9.448092970694667
shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.9009780448829551,0.6523396598342496,470016,128,-3.9127203794903087,-4.667136764668733
shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.9773144928661563,0.74877056595029,466944,128,1.0417601919747055,2.8945918824916372
global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.9461911197344446,0.728563765164122,466944,128,7.231965951430119,0.0
global_mean,零值基线,rectangle_50,矩形缺失 50%,0.945086525576045,0.7232580051871893,470016,128,0.7913497608019293,0.0
global_mean,零值基线,time_block_50,时间块缺失 50%,0.9498210498587482,0.7282290803742182,466944,128,-1.800708527648287,0.0
