kind,missing_ratio,fold,status,best_epoch,crps,mae,rmse,eval_points,num_samples,num_folds,se_crps,paper_crps
fold,0.1,0,evaluated_checkpoint,8,0.6961431775437398,0.5093289017677307,0.7416670329560936,29732,100,,,
fold,0.1,1,completed,8,0.6907901697604586,0.5051763653755188,0.7354749193615563,28885,100,,,
fold,0.1,2,completed,8,0.6998751731539817,0.504001259803772,0.7769832446060397,29513,100,,,
fold,0.1,3,completed,7,0.6832406539995836,0.5067669153213501,0.9047678962786393,29601,100,,,
fold,0.1,4,completed,8,0.6864015281861939,0.49781185388565063,0.757038547098837,29700,100,,,
summary,0.1,all_available,completed,,0.6912901405287915,,,,,5,0.003051208680452089,0.700(0.002)
fold,0.5,0,completed,6,0.7051031704311569,0.5230934619903564,0.7959632893919747,156035,100,,,
fold,0.5,1,completed,8,0.6836883649933521,0.5037730932235718,0.757246022027273,154624,100,,,
fold,0.5,2,completed,8,0.6954508478140208,0.5039412379264832,0.7616005830317758,155853,100,,,
fold,0.5,3,completed,8,0.6818162973256221,0.5039857029914856,0.800169660042067,156828,100,,,
fold,0.5,4,missing,,,,,,,,,,,
summary,0.5,all_available,partial,,0.691514670141038,,,,,4,0.005442504955895331,0.676(0.003)
fold,0.9,0,running_epoch_6,,,,,,,,,,0.761(0.010)
fold,0.9,1,pending,,,,,,,,,,0.761(0.010)
fold,0.9,2,pending,,,,,,,,,,0.761(0.010)
fold,0.9,3,pending,,,,,,,,,,0.761(0.010)
fold,0.9,4,pending,,,,,,,,,,0.761(0.010)

